OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
AIS & APRS & ARIS & R/B,2019-018AC,2024-01-20T13:16:43.101696,15.62454346,.002744,97.3668,122.9483,177.0189,183.1238,0,U,44104,999,26946,.6994E-3,.63501E-3,0
JILIN-1 GAOFEN 3A,2019-032C,2024-01-20T13:28:36.817536,15.08583676,.00135,44.9853,62.6573,344.4757,15.5702,0,U,44312,999,25419,.60854E-3,.9448E-4,0
XIAOXIANG 4,2019-032D,2024-01-20T12:20:31.906752,15.13333370,.001448,44.9940,54.2926,350.2301,9.8293,0,U,44313,999,25431,.8627E-3,.1544E-3,0
WT 1A,2019-032F,2024-01-20T11:10:22.549728,15.12047925,.0016226,44.9806,48.3947,3.6463,356.4529,0,U,44315,999,25428,.78819E-3,.13585E-3,0
WT 1B,2019-032G,2024-01-20T15:07:51.944448,15.05014264,.0017001,44.9817,90.5138,321.2272,38.7381,0,U,44316,999,25383,.43679E-3,.6081E-4,0
PROX-1,2019-036A,2024-01-20T13:09:57.665376,14.63234545,.0009839,24.0011,98.8433,143.0200,217.0973,0,U,44339,999,24342,.22432E-2,.12034E-3,0
NPSAT1,2019-036B,2024-01-20T15:47:26.307168,14.59379007,.0010606,24.0003,115.9398,110.4088,249.7544,0,U,44340,999,24335,.16E-2,.7951E-4,0
FORMOSAT 7-3,2019-036E,2024-01-20T13:20:46.806720,15.07740822,.0000748,24.0007,93.4050,295.2187,64.8239,0,U,44343,999,25051,.59271E-3,.9641E-4,0
FORMOSAT 7-1,2019-036L,2024-01-20T02:13:36.907392,15.07775624,.0002336,23.9993,272.5881,300.0742,59.9529,0,U,44349,999,25211,.5458E-3,.8913E-4,0
FORMOSAT 7-4,2019-036M,2024-01-20T05:54:54.870624,15.07745226,.0002728,24.0011,333.6129,279.2727,80.7468,0,U,44350,999,25155,.60696E-3,.9868E-4,0
FORMOSAT 7-2,2019-036N,2024-01-20T09:37:25.237920,15.07740040,.0002449,24.0007,26.8755,247.4887,112.5357,0,U,44351,999,25109,.57938E-3,.9433E-4,0
FORMOSAT 7-6,2019-036Q,2024-01-20T14:24:40.536288,15.07756065,.0001591,23.9971,206.3461,16.7744,343.2812,0,U,44353,999,24935,.58993E-3,.9602E-4,0
FORMOSAT 7-5,2019-036V,2024-01-20T17:02:23.455680,15.07736523,.0001839,23.9992,145.3530,102.7554,257.3155,0,U,44358,999,24997,.57149E-3,.9307E-4,0
METEOR-M2 2,2019-038A,2024-01-20T19:24:37.544832,14.23844173,.0002068,98.8074,349.6106,55.3802,304.7571,0,U,44387,999,23627,.75088E-4,.127E-5,0
NSL-1,2019-038E,2024-01-20T12:51:18.119232,15.28102599,.0014902,97.8877,17.5242,42.0497,318.1882,0,U,44391,999,24919,.20084E-2,.5548E-3,0
VDNH-80,2019-038G,2024-01-20T19:35:26.003616,15.46219536,.0007894,97.6850,16.5801,232.3997,127.6536,0,U,44392,999,25172,.12492E-2,.61771E-3,0
D-STAR ONE (LIGHTSAT),2019-038H,2024-01-20T12:44:13.305120,15.48394062,.0007396,97.6837,16.7712,229.3350,130.7258,0,U,44393,999,25191,.13105E-2,.69922E-3,0
AMGU-1 (AMURSAT),2019-038J,2024-01-20T14:02:40.579296,15.53687390,.0006158,97.6810,18.0715,213.4853,146.6010,0,U,44394,999,25201,.13748E-2,.88685E-3,0
