OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NOAA 15,1998-030A,2024-01-20T19:41:43.342656,14.26476387,.0010998,98.5857,50.9342,43.0017,317.2021,0,U,25338,999,33628,.15264E-3,.325E-5,0
NOAA 18,2005-018A,2024-01-20T19:20:22.003872,14.13105005,.0015137,98.8897,98.9411,122.6204,237.6431,0,U,28654,999,96230,.21469E-3,.357E-5,0
NOAA 19,2009-005A,2024-01-20T19:22:53.085504,14.12910348,.0013627,99.0710,74.8977,354.4553,5.6465,0,U,33591,999,77067,.1904E-3,.309E-5,0
METOP-B,2012-049A,2024-01-20T19:05:15.602208,14.21457155,.0001714,98.6508,81.1999,97.9715,262.1657,0,U,38771,999,58846,.13141E-3,.244E-5,0
SARAL,2013-009A,2024-01-20T13:41:50.503488,14.32331613,.0002247,98.5461,207.7517,32.3933,327.7388,0,U,39086,999,56980,.12666E-3,.298E-5,0
METOP-C,2018-087A,2024-01-20T18:17:48.823296,14.21498263,.0003323,98.7027,82.0317,133.0478,227.0978,0,U,43689,999,27003,.13253E-3,.246E-5,0
ANGELS,2019-092D,2024-01-20T11:03:42.530688,15.24345447,.0011461,97.4737,209.0953,119.5504,240.6877,0,U,44876,999,22668,.36459E-3,.8868E-4,0
GAZELLE,2022-127A,2024-01-20T13:32:14.297568,14.41982874,.0012636,98.3358,18.2244,324.3742,35.6603,0,U,54023,999,6770,.13036E-3,.385E-5,0
EOS-6 (OCEANSAT-3),2022-158A,2024-01-20T19:56:34.007424,14.47004118,.000111,98.3522,119.8995,93.9906,266.1414,0,U,54361,999,6081,.21435E-3,.736E-5,0
